scenario,ev_background_load_mbps,traffic_class,pdr,deadline_violation_rate,deadline_penalized_mean_ms,mean_delay_ms,delay_p95_ms,throughput_mbps
baseline,26.5,ALERT_TOTAL,"0.983 [0.965, 0.995]","0.287 [0.170, 0.414]","439.8 [220.2, 701.7]","509.7 [230.9, 868.7]","555.9 [267.4, 926.7]","0.030 [0.029, 0.030]"
baseline,26.5,DIAG_TOTAL,"0.844 [0.754, 0.923]","0.237 [0.138, 0.342]","161.5 [96.24, 232.6]","378.4 [171.5, 677.3]","600.9 [304.8, 959.2]","0.078 [0.070, 0.086]"
baseline,26.5,EV_BACKGROUND_TOTAL,"0.959 [0.920, 0.987]","0.000 [0.000, 0.000]","339.8 [194.2, 500.1]","488.8 [231.5, 830.0]","601.0 [313.6, 975.0]","25.81 [24.69, 26.62]"
baseline,26.5,FAULT_TOTAL,"0.946 [0.902, 0.978]","0.300 [0.180, 0.440]","365.4 [209.3, 538.9]","551.4 [269.7, 916.2]","596.1 [308.0, 955.6]","0.809 [0.770, 0.841]"
baseline,26.5,TOTAL,"0.932 [0.886, 0.970]","0.289 [0.173, 0.420]","337.3 [194.2, 493.7]","537.3 [261.5, 900.5]","594.7 [302.8, 962.1]","0.917 [0.869, 0.957]"
baseline,27.0,ALERT_TOTAL,"0.980 [0.960, 0.994]","0.692 [0.638, 0.752]","527.6 [310.9, 784.9]","606.9 [331.7, 958.6]","722.0 [447.0, 1073]","0.029 [0.028, 0.030]"
baseline,27.0,DIAG_TOTAL,"0.807 [0.715, 0.891]","0.322 [0.234, 0.417]","243.8 [196.4, 295.6]","472.8 [280.3, 747.1]","850.6 [589.0, 1193]","0.076 [0.067, 0.084]"
baseline,27.0,EV_BACKGROUND_TOTAL,"0.955 [0.916, 0.984]","0.000 [0.000, 0.000]","463.7 [323.7, 608.5]","619.5 [370.2, 947.0]","857.1 [590.5, 1194]","26.13 [24.99, 26.98]"
baseline,27.0,FAULT_TOTAL,"0.940 [0.896, 0.973]","0.991 [0.989, 0.992]","529.4 [384.7, 686.1]","723.8 [451.3, 1078]","860.5 [595.5, 1202]","0.797 [0.757, 0.828]"
baseline,27.0,TOTAL,"0.921 [0.875, 0.960]","0.869 [0.851, 0.889]","484.4 [352.5, 622.0]","697.5 [429.7, 1043]","851.7 [590.9, 1190]","0.902 [0.855, 0.942]"
baseline,27.5,ALERT_TOTAL,"0.977 [0.958, 0.991]","0.772 [0.732, 0.814]","636.5 [424.2, 878.2]","718.6 [446.0, 1085]","927.9 [676.4, 1259]","0.029 [0.028, 0.030]"
baseline,27.5,DIAG_TOTAL,"0.789 [0.695, 0.879]","0.612 [0.567, 0.660]","411.6 [392.8, 434.5]","659.3 [486.4, 918.9]","1246 [1042, 1550]","0.073 [0.065, 0.081]"
baseline,27.5,EV_BACKGROUND_TOTAL,"0.950 [0.910, 0.980]","0.000 [0.000, 0.000]","646.3 [534.1, 768.5]","809.7 [582.4, 1121]","1248 [1045, 1546]","26.26 [25.10, 27.13]"
baseline,27.5,FAULT_TOTAL,"0.932 [0.888, 0.967]","0.997 [0.996, 0.997]","727.0 [615.0, 846.6]","935.6 [688.8, 1265]","1222 [1010, 1518]","0.780 [0.741, 0.811]"
baseline,27.5,TOTAL,"0.912 [0.865, 0.952]","0.924 [0.914, 0.934]","672.6 [569.0, 783.3]","901.1 [653.1, 1222]","1210 [995.9, 1512]","0.882 [0.836, 0.922]"
baseline,28.0,ALERT_TOTAL,"0.974 [0.955, 0.988]","1.000 [1.000, 1.000]","949.3 [784.4, 1152]","1036 [805.4, 1360]","1338 [1150, 1630]","0.028 [0.027, 0.029]"
baseline,28.0,DIAG_TOTAL,"0.658 [0.576, 0.732]","0.726 [0.698, 0.755]","579.7 [557.0, 602.8]","883.6 [737.3, 1119]","1668 [1523, 1917]","0.061 [0.053, 0.067]"
baseline,28.0,EV_BACKGROUND_TOTAL,"0.941 [0.901, 0.972]","0.000 [0.000, 0.000]","956.2 [894.5, 1022]","1131 [943.3, 1412]","1669 [1524, 1920]","26.29 [25.15, 27.15]"
baseline,28.0,FAULT_TOTAL,"0.919 [0.875, 0.955]","1.000 [1.000, 1.000]","1119 [1075, 1164]","1344 [1154, 1630]","1669 [1524, 1922]","0.758 [0.721, 0.788]"
baseline,28.0,TOTAL,"0.881 [0.837, 0.920]","0.957 [0.952, 0.961]","1025 [982.8, 1069]","1282 [1090, 1571]","1651 [1502, 1903]","0.847 [0.803, 0.884]"
baseline,28.5,ALERT_TOTAL,"0.973 [0.955, 0.986]","1.000 [1.000, 1.000]","1265 [1139, 1440]","1350 [1161, 1639]","1669 [1522, 1924]","0.028 [0.027, 0.028]"
baseline,28.5,DIAG_TOTAL,"0.509 [0.451, 0.562]","0.827 [0.815, 0.839]","557.6 [536.8, 577.2]","943.7 [808.8, 1171]","1668 [1523, 1920]","0.047 [0.042, 0.052]"
baseline,28.5,EV_BACKGROUND_TOTAL,"0.926 [0.886, 0.956]","0.000 [0.000, 0.000]","1088 [1049, 1131]","1283 [1115, 1551]","1669 [1524, 1918]","26.31 [25.16, 27.18]"
baseline,28.5,FAULT_TOTAL,"0.888 [0.848, 0.921]","1.000 [1.000, 1.000]","1287 [1273, 1304]","1555 [1396, 1815]","1669 [1524, 1924]","0.733 [0.698, 0.760]"
baseline,28.5,TOTAL,"0.833 [0.793, 0.867]","0.973 [0.971, 0.975]","1171 [1154, 1194]","1489 [1326, 1757]","1669 [1524, 1917]","0.807 [0.768, 0.841]"
baseline,29.0,ALERT_TOTAL,"0.962 [0.945, 0.976]","1.000 [1.000, 1.000]","1434 [1333, 1588]","1533 [1369, 1802]","1669 [1524, 1915]","0.027 [0.027, 0.028]"
baseline,29.0,DIAG_TOTAL,"0.412 [0.370, 0.452]","0.857 [0.850, 0.864]","533.3 [514.9, 552.6]","992.2 [856.6, 1224]","1669 [1523, 1929]","0.038 [0.034, 0.041]"
baseline,29.0,EV_BACKGROUND_TOTAL,"0.911 [0.871, 0.940]","0.000 [0.000, 0.000]","1155 [1128, 1184]","1371 [1213, 1629]","1669 [1524, 1920]","26.33 [25.20, 27.20]"
baseline,29.0,FAULT_TOTAL,"0.858 [0.820, 0.887]","1.000 [1.000, 1.000]","1323 [1316, 1332]","1642 [1492, 1903]","1669 [1523, 1924]","0.707 [0.675, 0.733]"
baseline,29.0,TOTAL,"0.793 [0.757, 0.822]","0.977 [0.976, 0.979]","1204 [1193, 1222]","1584 [1431, 1838]","1669 [1524, 1922]","0.773 [0.737, 0.802]"
baseline,29.5,ALERT_TOTAL,"0.957 [0.941, 0.969]","1.000 [1.000, 1.000]","1521 [1425, 1681]","1625 [1474, 1883]","1669 [1524, 1927]","0.027 [0.027, 0.028]"
baseline,29.5,DIAG_TOTAL,"0.354 [0.321, 0.386]","0.872 [0.867, 0.878]","524.4 [506.9, 545.0]","1047 [914.0, 1276]","1669 [1522, 1923]","0.033 [0.030, 0.036]"
baseline,29.5,EV_BACKGROUND_TOTAL,"0.896 [0.857, 0.925]","0.000 [0.000, 0.000]","1190 [1171, 1212]","1429 [1276, 1687]","1669 [1524, 1928]","26.35 [25.18, 27.22]"
baseline,29.5,FAULT_TOTAL,"0.833 [0.797, 0.860]","1.000 [1.000, 1.000]","1308 [1302, 1316]","1668 [1523, 1917]","1670 [1523, 1929]","0.687 [0.655, 0.710]"
baseline,29.5,TOTAL,"0.764 [0.731, 0.791]","0.980 [0.979, 0.981]","1196 [1185, 1213]","1621 [1472, 1865]","1670 [1524, 1921]","0.747 [0.713, 0.773]"
baseline,30.0,ALERT_TOTAL,"0.946 [0.926, 0.960]","1.000 [1.000, 1.000]","1529 [1454, 1649]","1664 [1518, 1916]","1669 [1525, 1921]","0.027 [0.026, 0.028]"
baseline,30.0,DIAG_TOTAL,"0.315 [0.286, 0.341]","0.885 [0.882, 0.889]","518.7 [497.9, 544.3]","1092 [959.8, 1320]","1669 [1524, 1914]","0.029 [0.027, 0.032]"
baseline,30.0,EV_BACKGROUND_TOTAL,"0.881 [0.843, 0.910]","0.000 [0.000, 0.000]","1208 [1193, 1223]","1469 [1323, 1714]","1669 [1524, 1922]","26.36 [25.23, 27.23]"
baseline,30.0,FAULT_TOTAL,"0.811 [0.776, 0.837]","1.000 [1.000, 1.000]","1274 [1269, 1281]","1669 [1523, 1915]","1670 [1524, 1920]","0.668 [0.638, 0.691]"
baseline,30.0,TOTAL,"0.740 [0.708, 0.765]","0.982 [0.981, 0.982]","1169 [1159, 1184]","1631 [1484, 1881]","1670 [1523, 1926]","0.725 [0.692, 0.750]"
baseline,31.0,ALERT_TOTAL,"0.937 [0.919, 0.951]","1.000 [1.000, 1.000]","1524 [1446, 1660]","1669 [1523, 1919]","1670 [1523, 1918]","0.027 [0.026, 0.027]"
baseline,31.0,DIAG_TOTAL,"0.238 [0.221, 0.254]","0.895 [0.892, 0.897]","470.9 [459.2, 486.4]","1110 [982.0, 1331]","1669 [1524, 1922]","0.022 [0.021, 0.024]"
baseline,31.0,EV_BACKGROUND_TOTAL,"0.853 [0.818, 0.881]","0.000 [0.000, 0.000]","1210 [1201, 1220]","1515 [1372, 1756]","1669 [1524, 1918]","26.38 [25.20, 27.25]"
baseline,31.0,FAULT_TOTAL,"0.788 [0.756, 0.813]","1.000 [1.000, 1.000]","1242 [1233, 1255]","1669 [1524, 1927]","1670 [1524, 1923]","0.650 [0.623, 0.672]"
baseline,31.0,TOTAL,"0.709 [0.680, 0.732]","0.983 [0.983, 0.984]","1136 [1124, 1155]","1640 [1494, 1891]","1670 [1524, 1919]","0.699 [0.668, 0.722]"
baseline,32.0,ALERT_TOTAL,"0.936 [0.920, 0.947]","1.000 [1.000, 1.000]","1529 [1440, 1673]","1669 [1522, 1925]","1670 [1525, 1921]","0.027 [0.026, 0.027]"
baseline,32.0,DIAG_TOTAL,"0.210 [0.195, 0.223]","0.899 [0.897, 0.901]","462.9 [452.0, 477.4]","1159 [1034, 1369]","1669 [1524, 1920]","0.020 [0.019, 0.021]"
baseline,32.0,EV_BACKGROUND_TOTAL,"0.827 [0.791, 0.854]","0.000 [0.000, 0.000]","1195 [1189, 1202]","1541 [1400, 1783]","1669 [1524, 1931]","26.39 [25.25, 27.27]"
baseline,32.0,FAULT_TOTAL,"0.772 [0.741, 0.796]","1.000 [1.000, 1.000]","1218 [1209, 1230]","1669 [1524, 1924]","1670 [1524, 1929]","0.637 [0.610, 0.658]"
baseline,32.0,TOTAL,"0.692 [0.665, 0.713]","0.984 [0.984, 0.984]","1115 [1103, 1135]","1645 [1500, 1899]","1670 [1523, 1921]","0.683 [0.654, 0.705]"
baseline,33.0,ALERT_TOTAL,"0.927 [0.911, 0.939]","1.000 [1.000, 1.000]","1513 [1427, 1654]","1669 [1524, 1922]","1670 [1524, 1918]","0.026 [0.026, 0.027]"
baseline,33.0,DIAG_TOTAL,"0.162 [0.153, 0.170]","0.900 [0.899, 0.902]","422.4 [411.0, 438.1]","1123 [989.2, 1339]","1670 [1524, 1923]","0.015 [0.014, 0.016]"
baseline,33.0,EV_BACKGROUND_TOTAL,"0.802 [0.768, 0.829]","0.000 [0.000, 0.000]","1174 [1169, 1179]","1558 [1417, 1795]","1669 [1523, 1920]","26.41 [25.22, 27.28]"
baseline,33.0,FAULT_TOTAL,"0.743 [0.713, 0.766]","1.000 [1.000, 1.000]","1172 [1163, 1184]","1669 [1522, 1920]","1670 [1525, 1920]","0.613 [0.586, 0.633]"
baseline,33.0,TOTAL,"0.661 [0.636, 0.680]","0.984 [0.984, 0.985]","1072 [1060, 1092]","1648 [1502, 1905]","1670 [1525, 1918]","0.655 [0.627, 0.675]"
baseline,34.0,ALERT_TOTAL,"0.911 [0.894, 0.923]","1.000 [1.000, 1.000]","1485 [1404, 1624]","1669 [1523, 1920]","1670 [1524, 1920]","0.026 [0.025, 0.026]"
baseline,34.0,DIAG_TOTAL,"0.147 [0.140, 0.155]","0.904 [0.902, 0.905]","418.5 [404.7, 439.5]","1154 [1017, 1386]","1669 [1524, 1925]","0.014 [0.013, 0.015]"
baseline,34.0,EV_BACKGROUND_TOTAL,"0.779 [0.745, 0.805]","0.000 [0.000, 0.000]","1149 [1146, 1154]","1570 [1431, 1813]","1670 [1524, 1928]","26.41 [25.25, 27.31]"
baseline,34.0,FAULT_TOTAL,"0.724 [0.694, 0.745]","1.000 [1.000, 1.000]","1143 [1132, 1158]","1669 [1523, 1915]","1670 [1523, 1921]","0.597 [0.572, 0.616]"
baseline,34.0,TOTAL,"0.643 [0.619, 0.661]","0.985 [0.985, 0.985]","1047 [1033, 1069]","1650 [1505, 1896]","1670 [1525, 1919]","0.636 [0.611, 0.656]"
baseline,35.0,ALERT_TOTAL,"0.905 [0.889, 0.917]","1.000 [1.000, 1.000]","1478 [1396, 1611]","1669 [1523, 1924]","1670 [1524, 1924]","0.026 [0.025, 0.026]"
baseline,35.0,DIAG_TOTAL,"0.138 [0.131, 0.146]","0.906 [0.905, 0.907]","416.3 [401.8, 437.5]","1183 [1050, 1418]","1670 [1524, 1925]","0.013 [0.012, 0.014]"
baseline,35.0,EV_BACKGROUND_TOTAL,"0.757 [0.726, 0.782]","0.000 [0.000, 0.000]","1124 [1121, 1127]","1579 [1440, 1820]","1670 [1525, 1921]","26.42 [25.26, 27.30]"
baseline,35.0,FAULT_TOTAL,"0.705 [0.678, 0.726]","1.000 [1.000, 1.000]","1115 [1103, 1132]","1669 [1523, 1910]","1670 [1524, 1924]","0.581 [0.557, 0.600]"
baseline,35.0,TOTAL,"0.627 [0.603, 0.644]","0.985 [0.985, 0.985]","1024 [1009, 1048]","1652 [1505, 1903]","1670 [1524, 1922]","0.620 [0.596, 0.639]"
baseline,40.0,ALERT_TOTAL,"0.881 [0.866, 0.893]","1.000 [1.000, 1.000]","1442 [1360, 1580]","1669 [1524, 1916]","1670 [1524, 1921]","0.025 [0.025, 0.026]"
baseline,40.0,DIAG_TOTAL,"0.110 [0.103, 0.117]","0.912 [0.911, 0.912]","405.9 [389.5, 429.6]","1277 [1140, 1505]","1670 [1522, 1920]","0.010 [0.010, 0.011]"
baseline,40.0,EV_BACKGROUND_TOTAL,"0.663 [0.634, 0.685]","0.000 [0.000, 0.000]","1001 [999.5, 1002]","1602 [1465, 1839]","1670 [1524, 1923]","26.46 [25.29, 27.34]"
baseline,40.0,FAULT_TOTAL,"0.625 [0.601, 0.644]","1.000 [1.000, 1.000]","989.7 [978.5, 1006]","1669 [1522, 1929]","1670 [1524, 1924]","0.516 [0.494, 0.532]"
baseline,40.0,TOTAL,"0.558 [0.538, 0.574]","0.986 [0.986, 0.986]","921.9 [907.5, 945.3]","1656 [1511, 1907]","1670 [1525, 1922]","0.551 [0.529, 0.568]"
slicing,0.0,ALERT_TOTAL,"1.000 [0.999, 1.000]","0.020 [0.014, 0.027]","13.13 [12.51, 13.87]","13.12 [12.49, 13.84]","28.17 [25.39, 31.47]","0.031 [0.030, 0.031]"
slicing,0.0,DIAG_TOTAL,"1.000 [1.000, 1.000]","0.000 [0.000, 0.000]","10.15 [9.944, 10.40]","10.10 [9.935, 10.28]","16.32 [15.45, 17.36]","0.093 [0.093, 0.093]"
slicing,0.0,FAULT_TOTAL,"1.000 [0.999, 1.000]","0.137 [0.117, 0.167]","8.851 [8.629, 9.256]","8.853 [8.629, 9.266]","13.55 [12.15, 16.24]","0.867 [0.866, 0.868]"
slicing,0.0,TOTAL,"1.000 [0.999, 1.000]","0.109 [0.093, 0.133]","9.284 [9.058, 9.661]","9.278 [9.060, 9.646]","14.77 [13.47, 17.06]","0.991 [0.990, 0.992]"
slicing,5.0,ALERT_TOTAL,"0.997 [0.992, 1.000]","0.006 [0.000, 0.015]","4.615 [4.134, 5.380]","4.504 [4.131, 5.081]","10.08 [8.010, 14.04]","0.031 [0.030, 0.031]"
slicing,5.0,DIAG_TOTAL,"0.994 [0.986, 1.000]","0.019 [0.001, 0.048]","74.66 [6.739, 205.3]","73.69 [6.377, 203.2]","158.0 [11.33, 443.2]","0.093 [0.092, 0.093]"
slicing,5.0,EV_BACKGROUND_TOTAL,"0.996 [0.990, 1.000]","0.000 [0.000, 0.000]","72.96 [6.448, 202.2]","73.71 [6.463, 203.4]","158.7 [11.94, 444.4]","5.089 [5.055, 5.114]"
slicing,5.0,FAULT_TOTAL,"0.996 [0.989, 1.000]","0.043 [0.008, 0.089]","7.725 [5.233, 11.70]","7.990 [5.233, 12.30]","16.55 [9.080, 26.00]","0.863 [0.857, 0.867]"
slicing,5.0,TOTAL,"0.995 [0.988, 1.000]","0.038 [0.008, 0.076]","18.17 [5.788, 40.68]","18.17 [5.739, 40.46]","38.52 [10.98, 87.93]","0.987 [0.980, 0.991]"
slicing,10.0,ALERT_TOTAL,"0.997 [0.993, 1.000]","0.006 [0.000, 0.015]","4.489 [3.996, 5.163]","4.367 [3.998, 4.872]","11.54 [8.150, 16.73]","0.031 [0.030, 0.031]"
slicing,10.0,DIAG_TOTAL,"0.978 [0.943, 0.999]","0.023 [0.001, 0.062]","34.25 [7.929, 78.66]","98.83 [7.395, 276.1]","199.7 [10.36, 571.0]","0.091 [0.088, 0.093]"
slicing,10.0,EV_BACKGROUND_TOTAL,"0.983 [0.958, 0.999]","0.000 [0.000, 0.000]","72.01 [7.800, 195.7]","147.9 [8.017, 422.4]","231.9 [12.34, 663.7]","10.05 [9.774, 10.22]"
slicing,10.0,FAULT_TOTAL,"0.996 [0.991, 1.000]","0.047 [0.012, 0.092]","7.085 [4.618, 10.28]","7.232 [4.616, 10.62]","17.06 [8.730, 27.97]","0.864 [0.859, 0.867]"
slicing,10.0,TOTAL,"0.993 [0.986, 0.999]","0.041 [0.012, 0.077]","11.25 [5.697, 20.00]","10.81 [5.624, 18.45]","22.89 [11.16, 38.90]","0.986 [0.980, 0.991]"
slicing,15.0,ALERT_TOTAL,"0.999 [0.997, 1.000]","0.002 [0.000, 0.006]","3.570 [3.369, 3.881]","3.524 [3.370, 3.760]","7.150 [6.290, 8.670]","0.031 [0.030, 0.031]"
slicing,15.0,DIAG_TOTAL,"0.979 [0.939, 1.000]","0.029 [0.000, 0.074]","30.82 [7.338, 67.42]","114.6 [7.263, 318.6]","235.7 [11.62, 665.6]","0.091 [0.088, 0.093]"
slicing,15.0,EV_BACKGROUND_TOTAL,"0.984 [0.954, 1.000]","0.000 [0.000, 0.000]","56.78 [7.203, 148.0]","157.3 [7.276, 452.1]","242.6 [11.70, 682.1]","15.09 [14.63, 15.35]"
slicing,15.0,FAULT_TOTAL,"0.999 [0.997, 1.000]","0.016 [0.005, 0.033]","4.624 [3.955, 5.629]","4.635 [3.956, 5.696]","11.26 [7.550, 16.84]","0.866 [0.864, 0.868]"
slicing,15.0,TOTAL,"0.996 [0.989, 1.000]","0.017 [0.006, 0.033]","8.714 [4.684, 14.72]","8.037 [4.674, 12.98]","17.81 [9.641, 29.18]","0.988 [0.984, 0.992]"
slicing,20.0,ALERT_TOTAL,"1.000 [1.000, 1.000]","0.000 [0.000, 0.000]","3.033 [3.004, 3.067]","3.033 [3.003, 3.068]","4.430 [4.340, 4.530]","0.031 [0.030, 0.031]"
slicing,20.0,DIAG_TOTAL,"0.966 [0.913, 1.000]","0.048 [0.000, 0.109]","48.90 [7.406, 101.5]","159.6 [7.390, 413.7]","314.6 [14.68, 803.9]","0.090 [0.085, 0.093]"
slicing,20.0,EV_BACKGROUND_TOTAL,"0.981 [0.946, 1.000]","0.000 [0.000, 0.000]","94.33 [7.566, 205.3]","215.8 [7.305, 578.5]","322.1 [13.98, 818.0]","20.04 [19.28, 20.47]"
slicing,20.0,FAULT_TOTAL,"1.000 [1.000, 1.000]","0.001 [0.001, 0.002]","3.334 [3.267, 3.447]","3.334 [3.268, 3.445]","5.460 [5.290, 5.620]","0.867 [0.866, 0.868]"
slicing,20.0,TOTAL,"0.995 [0.986, 1.000]","0.009 [0.001, 0.018]","10.53 [3.906, 18.86]","9.301 [3.959, 16.19]","18.05 [6.899, 34.25]","0.988 [0.983, 0.992]"
slicing,22.0,ALERT_TOTAL,"1.000 [1.000, 1.000]","0.000 [0.000, 0.000]","2.940 [2.915, 2.976]","2.940 [2.916, 2.976]","4.270 [4.250, 4.310]","0.031 [0.030, 0.031]"
slicing,22.0,DIAG_TOTAL,"0.947 [0.889, 0.992]","0.103 [0.037, 0.181]","105.8 [43.92, 180.1]","236.5 [58.91, 509.4]","479.9 [128.7, 990.0]","0.088 [0.083, 0.092]"
slicing,22.0,EV_BACKGROUND_TOTAL,"0.976 [0.939, 0.999]","0.000 [0.000, 0.000]","172.9 [61.19, 303.3]","304.8 [73.29, 652.2]","481.4 [128.8, 1006]","21.89 [20.99, 22.44]"
slicing,22.0,FAULT_TOTAL,"1.000 [1.000, 1.000]","0.000 [0.000, 0.000]","3.175 [3.097, 3.297]","3.175 [3.096, 3.302]","4.630 [4.530, 4.770]","0.867 [0.866, 0.868]"
slicing,22.0,TOTAL,"0.992 [0.983, 0.999]","0.016 [0.006, 0.029]","19.35 [9.286, 31.26]","17.50 [8.340, 28.32]","36.58 [16.16, 62.07]","0.986 [0.980, 0.991]"
slicing,23.0,ALERT_TOTAL,"1.000 [1.000, 1.000]","0.000 [0.000, 0.000]","2.936 [2.909, 2.973]","2.936 [2.909, 2.973]","4.260 [4.250, 4.280]","0.031 [0.030, 0.031]"
slicing,23.0,DIAG_TOTAL,"0.920 [0.856, 0.975]","0.113 [0.044, 0.197]","92.47 [38.65, 155.5]","244.9 [59.16, 525.4]","481.6 [131.6, 1004]","0.086 [0.080, 0.091]"
slicing,23.0,EV_BACKGROUND_TOTAL,"0.972 [0.934, 0.996]","0.000 [0.000, 0.000]","194.1 [77.35, 333.4]","334.5 [89.52, 689.4]","483.2 [131.8, 995.6]","22.79 [21.81, 23.39]"
slicing,23.0,FAULT_TOTAL,"1.000 [1.000, 1.000]","0.000 [0.000, 0.000]","3.114 [3.031, 3.249]","3.114 [3.033, 3.247]","4.310 [4.250, 4.430]","0.867 [0.866, 0.868]"
slicing,23.0,TOTAL,"0.987 [0.977, 0.996]","0.018 [0.007, 0.031]","17.21 [8.968, 27.26]","14.42 [7.091, 22.39]","28.57 [13.20, 46.70]","0.984 [0.978, 0.989]"
slicing,24.0,ALERT_TOTAL,"1.000 [1.000, 1.000]","0.000 [0.000, 0.000]","2.933 [2.907, 2.971]","2.933 [2.907, 2.970]","4.260 [4.250, 4.280]","0.031 [0.030, 0.031]"
slicing,24.0,DIAG_TOTAL,"0.916 [0.850, 0.973]","0.135 [0.052, 0.227]","120.6 [51.26, 200.7]","286.3 [91.85, 558.9]","504.9 [158.9, 1013]","0.085 [0.079, 0.091]"
slicing,24.0,EV_BACKGROUND_TOTAL,"0.967 [0.928, 0.994]","0.000 [0.000, 0.000]","219.6 [90.71, 372.8]","370.2 [112.1, 738.7]","511.9 [162.1, 1037]","23.65 [22.65, 24.33]"
slicing,24.0,FAULT_TOTAL,"1.000 [1.000, 1.000]","0.000 [0.000, 0.000]","3.080 [2.995, 3.210]","3.080 [2.994, 3.211]","4.310 [4.250, 4.430]","0.867 [0.866, 0.868]"
slicing,24.0,TOTAL,"0.987 [0.976, 0.996]","0.021 [0.008, 0.036]","21.62 [10.56, 33.86]","18.82 [9.384, 29.78]","31.54 [14.98, 50.59]","0.983 [0.977, 0.989]"
slicing,24.5,ALERT_TOTAL,"1.000 [1.000, 1.000]","0.000 [0.000, 0.000]","2.932 [2.908, 2.968]","2.932 [2.908, 2.969]","4.250 [4.220, 4.280]","0.031 [0.030, 0.031]"
slicing,24.5,DIAG_TOTAL,"0.897 [0.822, 0.960]","0.140 [0.053, 0.231]","107.4 [47.60, 174.0]","288.6 [93.25, 568.2]","523.7 [169.7, 1034]","0.084 [0.077, 0.090]"
slicing,24.5,EV_BACKGROUND_TOTAL,"0.965 [0.924, 0.992]","0.000 [0.000, 0.000]","232.4 [96.51, 384.7]","388.3 [125.8, 765.5]","525.5 [175.3, 1044]","24.09 [23.07, 24.82]"
slicing,24.5,FAULT_TOTAL,"1.000 [1.000, 1.000]","0.000 [0.000, 0.000]","3.066 [2.979, 3.199]","3.066 [2.979, 3.200]","4.310 [4.250, 4.430]","0.867 [0.866, 0.868]"
slicing,24.5,TOTAL,"0.984 [0.972, 0.994]","0.022 [0.009, 0.036]","19.53 [9.890, 30.18]","15.86 [8.574, 24.30]","27.81 [14.66, 43.80]","0.982 [0.975, 0.988]"
slicing,25.0,ALERT_TOTAL,"1.000 [1.000, 1.000]","0.000 [0.000, 0.000]","2.934 [2.908, 2.971]","2.934 [2.908, 2.971]","4.270 [4.250, 4.310]","0.031 [0.030, 0.031]"
slicing,25.0,DIAG_TOTAL,"0.889 [0.810, 0.956]","0.171 [0.083, 0.267]","119.2 [61.76, 185.2]","310.3 [111.1, 591.4]","558.1 [198.2, 1078]","0.083 [0.075, 0.089]"
slicing,25.0,EV_BACKGROUND_TOTAL,"0.962 [0.921, 0.990]","0.000 [0.000, 0.000]","251.5 [117.4, 402.2]","412.7 [144.8, 764.6]","560.2 [198.9, 1089]","24.50 [23.44, 25.27]"
slicing,25.0,FAULT_TOTAL,"1.000 [1.000, 1.000]","0.000 [0.000, 0.000]","3.058 [2.970, 3.191]","3.058 [2.970, 3.191]","4.310 [4.250, 4.430]","0.867 [0.866, 0.868]"
slicing,25.0,TOTAL,"0.982 [0.970, 0.993]","0.027 [0.013, 0.043]","21.37 [12.13, 32.02]","17.35 [10.31, 25.64]","30.74 [17.43, 45.62]","0.981 [0.973, 0.987]"
slicing,25.5,ALERT_TOTAL,"1.000 [1.000, 1.000]","0.000 [0.000, 0.000]","2.934 [2.909, 2.968]","2.934 [2.909, 2.969]","4.260 [4.250, 4.280]","0.031 [0.030, 0.031]"
slicing,25.5,DIAG_TOTAL,"0.880 [0.797, 0.951]","0.179 [0.090, 0.277]","136.3 [72.72, 207.2]","336.7 [130.4, 614.9]","611.7 [242.9, 1130]","0.082 [0.074, 0.089]"
slicing,25.5,EV_BACKGROUND_TOTAL,"0.960 [0.918, 0.989]","0.000 [0.000, 0.000]","277.6 [138.3, 434.0]","444.1 [174.3, 815.7]","613.7 [246.4, 1141]","24.91 [23.80, 25.73]"
slicing,25.5,FAULT_TOTAL,"1.000 [1.000, 1.000]","0.000 [0.000, 0.000]","3.055 [2.967, 3.188]","3.055 [2.967, 3.188]","4.310 [4.250, 4.430]","0.867 [0.866, 0.868]"
slicing,25.5,TOTAL,"0.981 [0.968, 0.992]","0.028 [0.014, 0.044]","24.07 [13.99, 35.15]","19.54 [11.40, 28.74]","36.25 [19.53, 55.29]","0.980 [0.972, 0.987]"
slicing,26.0,ALERT_TOTAL,"1.000 [1.000, 1.000]","0.000 [0.000, 0.000]","2.951 [2.927, 2.986]","2.951 [2.927, 2.985]","4.260 [4.250, 4.280]","0.031 [0.030, 0.031]"
slicing,26.0,DIAG_TOTAL,"0.855 [0.769, 0.932]","0.225 [0.129, 0.327]","146.3 [85.03, 212.0]","361.1 [153.3, 650.4]","664.8 [300.6, 1185]","0.080 [0.072, 0.087]"
slicing,26.0,EV_BACKGROUND_TOTAL,"0.957 [0.915, 0.987]","0.000 [0.000, 0.000]","315.1 [171.6, 473.5]","487.6 [217.4, 853.5]","667.6 [295.8, 1194]","25.29 [24.15, 26.15]"
slicing,26.0,FAULT_TOTAL,"1.000 [1.000, 1.000]","0.000 [0.000, 0.000]","3.052 [2.965, 3.194]","3.052 [2.964, 3.185]","4.310 [4.250, 4.430]","0.867 [0.866, 0.868]"
slicing,26.0,TOTAL,"0.977 [0.964, 0.989]","0.036 [0.020, 0.052]","25.65 [15.99, 35.86]","20.16 [12.93, 27.89]","38.38 [23.26, 54.70]","0.978 [0.970, 0.985]"
