scenario,ev_background_load_mbps,traffic_class,pdr,deadline_violation_rate,deadline_penalized_mean_ms,mean_delay_ms,delay_p95_ms,throughput_mbps
slicing,30.0,FAULT_TOTAL,"1.000 [1.000, 1.000]","0.000 [0.000, 0.000]","3.051 [2.963, 3.194]","3.051 [2.963, 3.186]","4.310 [4.250, 4.430]","0.867 [0.866, 0.868]"
slicing,30.0,TOTAL,"0.890 [0.886, 0.894]","0.140 [0.139, 0.140]","82.37 [80.38, 84.29]","55.44 [52.15, 58.37]","91.46 [85.92, 96.59]","0.927 [0.924, 0.929]"
slicing,31.0,ALERT_TOTAL,"1.000 [1.000, 1.000]","0.000 [0.000, 0.000]","2.943 [2.919, 2.976]","2.943 [2.918, 2.976]","4.240 [4.200, 4.270]","0.031 [0.030, 0.031]"
slicing,31.0,DIAG_TOTAL,"0.241 [0.224, 0.257]","0.895 [0.893, 0.897]","475.5 [467.7, 484.0]","1137 [1003, 1368]","1820 [1595, 2206]","0.023 [0.021, 0.024]"
slicing,31.0,EV_BACKGROUND_TOTAL,"0.844 [0.804, 0.874]","0.000 [0.000, 0.000]","1222 [1211, 1233]","1565 [1404, 1827]","1823 [1597, 2228]","26.09 [24.85, 27.04]"
slicing,31.0,FAULT_TOTAL,"1.000 [1.000, 1.000]","0.000 [0.000, 0.000]","3.054 [2.965, 3.187]","3.054 [2.966, 3.188]","4.310 [4.250, 4.430]","0.867 [0.866, 0.868]"
slicing,31.0,TOTAL,"0.880 [0.878, 0.883]","0.141 [0.141, 0.142]","77.59 [76.35, 79.02]","47.31 [45.47, 49.10]","74.87 [71.75, 78.04]","0.921 [0.919, 0.922]"
slicing,32.0,ALERT_TOTAL,"1.000 [1.000, 1.000]","0.000 [0.000, 0.000]","2.958 [2.935, 2.992]","2.958 [2.935, 2.992]","4.260 [4.250, 4.280]","0.031 [0.030, 0.031]"
slicing,32.0,DIAG_TOTAL,"0.207 [0.193, 0.219]","0.898 [0.896, 0.900]","460.3 [452.1, 469.4]","1175 [1040, 1401]","1820 [1596, 2211]","0.019 [0.018, 0.021]"
slicing,32.0,EV_BACKGROUND_TOTAL,"0.818 [0.779, 0.846]","0.000 [0.000, 0.000]","1206 [1196, 1215]","1592 [1432, 1868]","1823 [1598, 2225]","26.10 [24.85, 27.04]"
slicing,32.0,FAULT_TOTAL,"1.000 [1.000, 1.000]","0.000 [0.000, 0.000]","3.049 [2.962, 3.181]","3.049 [2.962, 3.184]","4.310 [4.250, 4.430]","0.867 [0.866, 0.868]"
slicing,32.0,TOTAL,"0.875 [0.873, 0.877]","0.142 [0.141, 0.142]","75.19 [73.89, 76.74]","43.00 [41.21, 44.82]","65.59 [62.93, 68.64]","0.918 [0.916, 0.919]"
slicing,33.0,ALERT_TOTAL,"1.000 [1.000, 1.000]","0.000 [0.000, 0.000]","2.951 [2.925, 2.988]","2.951 [2.925, 2.987]","4.240 [4.210, 4.270]","0.031 [0.030, 0.031]"
slicing,33.0,DIAG_TOTAL,"0.162 [0.153, 0.171]","0.901 [0.899, 0.902]","423.5 [413.0, 436.0]","1144 [1001, 1376]","1820 [1596, 2216]","0.015 [0.014, 0.016]"
slicing,33.0,EV_BACKGROUND_TOTAL,"0.793 [0.756, 0.821]","0.000 [0.000, 0.000]","1184 [1174, 1191]","1609 [1452, 1871]","1823 [1597, 2229]","26.10 [24.89, 27.05]"
slicing,33.0,FAULT_TOTAL,"1.000 [1.000, 1.000]","0.000 [0.000, 0.000]","3.054 [2.967, 3.188]","3.054 [2.966, 3.191]","4.310 [4.250, 4.430]","0.867 [0.866, 0.868]"
slicing,33.0,TOTAL,"0.868 [0.866, 0.869]","0.142 [0.142, 0.142]","69.39 [67.69, 71.45]","34.24 [32.22, 36.66]","53.51 [50.99, 56.91]","0.913 [0.912, 0.915]"
slicing,34.0,ALERT_TOTAL,"1.000 [1.000, 1.000]","0.000 [0.000, 0.000]","2.946 [2.919, 2.984]","2.946 [2.920, 2.983]","4.250 [4.220, 4.280]","0.031 [0.030, 0.031]"
slicing,34.0,DIAG_TOTAL,"0.146 [0.137, 0.154]","0.903 [0.902, 0.905]","416.1 [404.6, 429.6]","1167 [1023, 1410]","1819 [1596, 2229]","0.014 [0.013, 0.015]"
slicing,34.0,EV_BACKGROUND_TOTAL,"0.770 [0.734, 0.797]","0.000 [0.000, 0.000]","1159 [1149, 1166]","1621 [1464, 1887]","1823 [1596, 2219]","26.10 [24.85, 27.06]"
slicing,34.0,FAULT_TOTAL,"1.000 [1.000, 1.000]","0.000 [0.000, 0.000]","3.052 [2.965, 3.185]","3.052 [2.965, 3.187]","4.310 [4.250, 4.430]","0.867 [0.866, 0.868]"
slicing,34.0,TOTAL,"0.865 [0.864, 0.867]","0.143 [0.142, 0.143]","68.21 [66.36, 70.46]","32.09 [29.82, 34.79]","49.02 [46.31, 52.68]","0.912 [0.910, 0.913]"
slicing,35.0,ALERT_TOTAL,"1.000 [1.000, 1.000]","0.000 [0.000, 0.000]","2.937 [2.912, 2.973]","2.937 [2.912, 2.974]","4.270 [4.250, 4.310]","0.031 [0.030, 0.031]"
slicing,35.0,DIAG_TOTAL,"0.136 [0.127, 0.145]","0.906 [0.905, 0.907]","413.3 [400.7, 428.6]","1197 [1050, 1439]","1821 [1594, 2217]","0.013 [0.012, 0.014]"
slicing,35.0,EV_BACKGROUND_TOTAL,"0.748 [0.713, 0.774]","0.000 [0.000, 0.000]","1133 [1123, 1139]","1630 [1473, 1892]","1823 [1596, 2218]","26.10 [24.88, 27.06]"
slicing,35.0,FAULT_TOTAL,"1.000 [1.000, 1.000]","0.000 [0.000, 0.000]","3.052 [2.965, 3.186]","3.052 [2.965, 3.186]","4.310 [4.250, 4.430]","0.867 [0.866, 0.868]"
slicing,35.0,TOTAL,"0.864 [0.862, 0.865]","0.143 [0.143, 0.143]","67.78 [65.73, 70.28]","31.11 [28.53, 34.10]","46.31 [43.16, 50.38]","0.911 [0.910, 0.913]"
slicing,40.0,ALERT_TOTAL,"1.000 [1.000, 1.000]","0.000 [0.000, 0.000]","2.947 [2.924, 2.983]","2.947 [2.924, 2.983]","4.260 [4.250, 4.280]","0.031 [0.030, 0.031]"
slicing,40.0,DIAG_TOTAL,"0.107 [0.099, 0.117]","0.912 [0.911, 0.912]","400.9 [388.5, 414.9]","1286 [1143, 1516]","1822 [1594, 2221]","0.010 [0.009, 0.011]"
slicing,40.0,EV_BACKGROUND_TOTAL,"0.654 [0.624, 0.678]","0.000 [0.000, 0.000]","1007 [998.7, 1012]","1654 [1497, 1924]","1823 [1599, 2226]","26.10 [24.88, 27.06]"
slicing,40.0,FAULT_TOTAL,"1.000 [1.000, 1.000]","0.000 [0.000, 0.000]","3.052 [2.965, 3.192]","3.052 [2.965, 3.184]","4.310 [4.250, 4.430]","0.867 [0.866, 0.868]"
slicing,40.0,TOTAL,"0.859 [0.858, 0.861]","0.144 [0.144, 0.144]","65.81 [63.80, 68.10]","27.38 [24.80, 30.30]","37.76 [34.80, 41.37]","0.908 [0.907, 0.910]"
