ev_background_load_mbps,traffic_class,n_pairs,metric,baseline_mean,qos_aware_mean,paired_effect_mean,paired_effect_ci_low,paired_effect_ci_high,paired_effect_sd,effect_definition
10.0,FAULT_TOTAL,50,deadline_penalized_delay_reduction_ms,67.7185518,7.084882,60.6336698,2.4928626000000005,173.26809,388.16868866938535,baseline deadline-penalized delay - QoS-aware deadline-penalized delay
15.0,ALERT_TOTAL,50,pdr_gain,0.99278942,0.9989128599999999,0.00612344,-0.00039700000000000293,0.018766360000000003,0.043352135257612015,QoS-aware PDR - baseline PDR
15.0,ALERT_TOTAL,50,deadline_violation_reduction,0.0567449184,0.002372336,0.0543725824,9.66184e-05,0.12323768680000001,0.2178112185632988,baseline deadline-violation rate - QoS-aware deadline-violation rate
15.0,ALERT_TOTAL,50,deadline_penalized_delay_reduction_ms,108.43550220000002,3.5702256,104.8652766,1.6316591999999996,306.1420736,700.533976508987,baseline deadline-penalized delay - QoS-aware deadline-penalized delay
15.0,DIAG_TOTAL,50,pdr_gain,0.9797,0.9791666600000001,-0.0005333399999999988,-0.002000019999999997,0.00040000000000000034,0.004421634814529713,QoS-aware PDR - baseline PDR
15.0,DIAG_TOTAL,50,deadline_violation_reduction,0.020933346,0.02933334,-0.008399994000000001,-0.025433327999999998,0.0002333459999999992,0.0594093768483387,baseline deadline-violation rate - QoS-aware deadline-violation rate
15.0,DIAG_TOTAL,50,deadline_penalized_delay_reduction_ms,28.2403354,30.8216624,-2.5813270000000004,-16.0810526,8.419173,43.060131824199395,baseline deadline-penalized delay - QoS-aware deadline-penalized delay
15.0,FAULT_TOTAL,50,pdr_gain,0.9837233000000001,0.99899068,0.015267379999999999,0.0,0.04482528,0.10104736093149587,QoS-aware PDR - baseline PDR
15.0,FAULT_TOTAL,50,deadline_violation_reduction,0.063880936,0.015953513500000002,0.0479274225,0.0007285140000000001,0.10796071539999998,0.19235479058728044,baseline deadline-violation rate - QoS-aware deadline-violation rate
15.0,FAULT_TOTAL,50,deadline_penalized_delay_reduction_ms,50.28664,4.624124,45.662516,1.3499033999999996,129.0743228,287.8550384835468,baseline deadline-penalized delay - QoS-aware deadline-penalized delay
20.0,ALERT_TOTAL,50,pdr_gain,0.9921331600000001,1.0,0.00786684,0.0,0.021861379999999996,0.0441136572389355,QoS-aware PDR - baseline PDR
20.0,ALERT_TOTAL,50,deadline_violation_reduction,0.041089108000000006,0.0,0.041089108000000006,0.0,0.101089108,0.19787388535544742,baseline deadline-violation rate - QoS-aware deadline-violation rate
20.0,ALERT_TOTAL,50,deadline_penalized_delay_reduction_ms,150.1536448,3.0332368,147.120408,1.8012700000000001,392.0444152,768.9481635676505,baseline deadline-penalized delay - QoS-aware deadline-penalized delay
20.0,DIAG_TOTAL,50,pdr_gain,0.96693334,0.9657666659999999,-0.0011666739999999997,-0.0028333619999999994,0.0,0.005326688527107663,QoS-aware PDR - baseline PDR
20.0,DIAG_TOTAL,50,deadline_violation_reduction,0.0364000066,0.048499999999999995,-0.0120999934,-0.0362999802,0.0,0.0855598738545247,baseline deadline-violation rate - QoS-aware deadline-violation rate
20.0,DIAG_TOTAL,50,deadline_penalized_delay_reduction_ms,34.0399686,48.8985048,-14.858536199999998,-52.357288399999995,8.081750800000007,120.77543524511579,baseline deadline-penalized delay - QoS-aware deadline-penalized delay
20.0,FAULT_TOTAL,50,pdr_gain,0.97948982,1.0,0.02051018,0.0,0.056433939999999995,0.11409368472027087,QoS-aware PDR - baseline PDR
20.0,FAULT_TOTAL,50,deadline_violation_reduction,0.0568030043,0.00131288262,0.05549012168,0.0007111496000000002,0.12070435884000003,0.2210749126061404,baseline deadline-violation rate - QoS-aware deadline-violation rate
20.0,FAULT_TOTAL,50,deadline_penalized_delay_reduction_ms,74.8556238,3.3343718,71.52125199999999,1.7453962,178.1129004,345.29790648488273,baseline deadline-penalized delay - QoS-aware deadline-penalized delay
22.0,ALERT_TOTAL,50,pdr_gain,0.9914515,1.0,0.008548499999999999,0.0,0.023317099999999997,0.0458029106419615,QoS-aware PDR - baseline PDR
22.0,ALERT_TOTAL,50,deadline_violation_reduction,0.11104654,0.0,0.11104654,0.03879008,0.19589406,0.2861617132872215,baseline deadline-violation rate - QoS-aware deadline-violation rate
22.0,ALERT_TOTAL,50,deadline_penalized_delay_reduction_ms,186.9579534,2.9396265999999995,184.01832679999998,13.1998974,432.7139078,780.3756427650953,baseline deadline-penalized delay - QoS-aware deadline-penalized delay
22.0,DIAG_TOTAL,50,pdr_gain,0.95656666,0.947133326,-0.009433333999999998,-0.017500021999999994,-0.002766693999999999,0.02678250301790948,QoS-aware PDR - baseline PDR
22.0,DIAG_TOTAL,50,deadline_violation_reduction,0.0873,0.10289998,-0.015599979999999998,-0.031166660000000002,-0.003866639999999999,0.053318176222116355,baseline deadline-violation rate - QoS-aware deadline-violation rate
22.0,DIAG_TOTAL,50,deadline_penalized_delay_reduction_ms,65.01662400000001,105.7658108,-40.749186800000004,-90.2242982,-0.8758637999999986,162.72498875462216,baseline deadline-penalized delay - QoS-aware deadline-penalized delay
